segment	position	coverage	sample
HA	242	344	01_BALF
HA	243	348	01_BALF
HA	244	346	01_BALF
HA	245	335	01_BALF
HA	246	335	01_BALF
HA	247	344	01_BALF
HA	248	341	01_BALF
HA	249	346	01_BALF
HA	250	346	01_BALF
HA	251	345	01_BALF
HA	252	332	01_BALF
HA	253	332	01_BALF
HA	254	335	01_BALF
HA	255	335	01_BALF
HA	256	336	01_BALF
HA	257	333	01_BALF
HA	258	331	01_BALF
HA	259	330	01_BALF
HA	260	328	01_BALF
HA	261	330	01_BALF
HA	262	327	01_BALF
HA	263	328	01_BALF
HA	264	327	01_BALF
HA	265	326	01_BALF
HA	266	323	01_BALF
HA	267	323	01_BALF
HA	268	325	01_BALF
HA	269	325	01_BALF
HA	270	322	01_BALF
HA	271	321	01_BALF
HA	272	320	01_BALF
HA	273	319	01_BALF
HA	274	320	01_BALF
HA	275	318	01_BALF
HA	276	318	01_BALF
HA	277	321	01_BALF
HA	278	312	01_BALF
HA	279	338	01_BALF
HA	280	341	01_BALF
HA	281	345	01_BALF
HA	282	346	01_BALF
HA	283	343	01_BALF
HA	284	357	01_BALF
HA	285	359	01_BALF
HA	286	356	01_BALF
HA	287	355	01_BALF
HA	288	324	01_BALF
HA	289	327	01_BALF
HA	290	327	01_BALF
HA	291	326	01_BALF
HA	292	326	01_BALF
HA	293	325	01_BALF
HA	294	323	01_BALF
HA	295	324	01_BALF
HA	296	327	01_BALF
HA	297	329	01_BALF
HA	298	323	01_BALF
HA	299	322	01_BALF
HA	300	322	01_BALF
HA	301	324	01_BALF
HA	302	323	01_BALF
HA	303	324	01_BALF
HA	304	323	01_BALF
HA	305	324	01_BALF
HA	306	322	01_BALF
HA	307	322	01_BALF
HA	308	322	01_BALF
HA	309	326	01_BALF
HA	310	327	01_BALF
HA	311	325	01_BALF
HA	312	322	01_BALF
HA	313	321	01_BALF
HA	314	322	01_BALF
HA	315	314	01_BALF
HA	316	314	01_BALF
HA	317	314	01_BALF
HA	318	322	01_BALF
HA	319	323	01_BALF
HA	320	321	01_BALF
HA	321	319	01_BALF
HA	322	307	01_BALF
HA	323	307	01_BALF
HA	324	301	01_BALF
HA	325	300	01_BALF
HA	326	298	01_BALF
HA	327	284	01_BALF
HA	328	291	01_BALF
HA	329	298	01_BALF
HA	330	300	01_BALF
HA	331	300	01_BALF
HA	332	298	01_BALF
HA	333	298	01_BALF
HA	334	293	01_BALF
HA	335	293	01_BALF
HA	336	292	01_BALF
HA	337	280	01_BALF
HA	338	279	01_BALF
HA	339	270	01_BALF
HA	340	270	01_BALF
HA	341	283	01_BALF
HA	342	280	01_BALF
HA	343	279	01_BALF
HA	344	285	01_BALF
HA	345	281	01_BALF
HA	346	281	01_BALF
HA	347	279	01_BALF
HA	348	277	01_BALF
HA	349	278	01_BALF
HA	350	277	01_BALF
HA	351	280	01_BALF
HA	352	278	01_BALF
HA	353	278	01_BALF
HA	354	278	01_BALF
HA	355	278	01_BALF
HA	356	278	01_BALF
HA	357	277	01_BALF
HA	358	271	01_BALF
HA	359	275	01_BALF
HA	360	276	01_BALF
HA	361	275	01_BALF
HA	362	275	01_BALF
HA	363	282	01_BALF
HA	364	275	01_BALF
HA	365	274	01_BALF
HA	366	274	01_BALF
HA	367	269	01_BALF
HA	368	272	01_BALF
HA	369	270	01_BALF
HA	370	269	01_BALF
HA	371	269	01_BALF
HA	372	264	01_BALF
HA	373	267	01_BALF
HA	374	270	01_BALF
HA	375	271	01_BALF
HA	376	274	01_BALF
HA	377	266	01_BALF
HA	378	265	01_BALF
HA	379	268	01_BALF
HA	380	266	01_BALF
HA	381	268	01_BALF
HA	382	277	01_BALF
HA	383	275	01_BALF
HA	384	273	01_BALF
HA	385	271	01_BALF
HA	386	265	01_BALF
HA	387	264	01_BALF
HA	388	259	01_BALF
HA	389	258	01_BALF
HA	390	267	01_BALF
HA	391	263	01_BALF
HA	392	266	01_BALF
HA	393	262	01_BALF
HA	394	263	01_BALF
HA	395	264	01_BALF
HA	396	264	01_BALF
HA	397	272	01_BALF
HA	398	286	01_BALF
HA	399	285	01_BALF
HA	400	283	01_BALF
HA	401	282	01_BALF
HA	402	282	01_BALF
HA	403	281	01_BALF
HA	404	280	01_BALF
HA	405	281	01_BALF
HA	406	281	01_BALF
HA	407	279	01_BALF
HA	408	279	01_BALF
HA	409	278	01_BALF
HA	410	279	01_BALF
HA	411	279	01_BALF
HA	412	276	01_BALF
HA	413	277	01_BALF
HA	414	277	01_BALF
HA	415	278	01_BALF
HA	416	277	01_BALF
HA	417	275	01_BALF
HA	418	276	01_BALF
HA	419	277	01_BALF
HA	420	287	01_BALF
HA	421	294	01_BALF
HA	422	294	01_BALF
HA	423	293	01_BALF
HA	424	294	01_BALF
HA	425	294	01_BALF
HA	426	300	01_BALF
HA	427	307	01_BALF
HA	428	307	01_BALF
HA	429	286	01_BALF
HA	430	279	01_BALF
HA	431	280	01_BALF
HA	432	283	01_BALF
HA	433	283	01_BALF
HA	434	284	01_BALF
HA	435	285	01_BALF
HA	436	285	01_BALF
HA	437	287	01_BALF
HA	438	288	01_BALF
HA	439	290	01_BALF
HA	440	289	01_BALF
HA	441	287	01_BALF
HA	442	291	01_BALF
HA	443	294	01_BALF
HA	444	291	01_BALF
HA	445	292	01_BALF
HA	446	308	01_BALF
HA	447	308	01_BALF
HA	448	312	01_BALF
HA	449	311	01_BALF
HA	450	308	01_BALF
HA	451	312	01_BALF
HA	452	312	01_BALF
HA	453	321	01_BALF
HA	454	319	01_BALF
HA	455	336	01_BALF
HA	456	335	01_BALF
HA	457	336	01_BALF
HA	458	336	01_BALF
HA	459	334	01_BALF
HA	460	337	01_BALF
HA	461	346	01_BALF
HA	462	345	01_BALF
HA	463	344	01_BALF
HA	464	345	01_BALF
HA	465	346	01_BALF
HA	466	345	01_BALF
HA	467	343	01_BALF
HA	468	341	01_BALF
HA	469	337	01_BALF
HA	470	336	01_BALF
HA	471	335	01_BALF
HA	472	336	01_BALF
HA	473	330	01_BALF
HA	474	320	01_BALF
HA	475	320	01_BALF
HA	476	320	01_BALF
HA	477	316	01_BALF
HA	478	301	01_BALF
HA	479	299	01_BALF
HA	480	302	01_BALF
HA	481	302	01_BALF
HA	482	304	01_BALF
HA	483	303	01_BALF
HA	484	307	01_BALF
HA	485	310	01_BALF
HA	486	310	01_BALF
HA	487	308	01_BALF
HA	488	306	01_BALF
HA	489	306	01_BALF
HA	490	309	01_BALF
HA	491	312	01_BALF
HA	492	307	01_BALF
HA	493	307	01_BALF
HA	494	309	01_BALF
HA	495	306	01_BALF
HA	496	308	01_BALF
HA	497	307	01_BALF
HA	498	305	01_BALF
HA	499	306	01_BALF
HA	500	309	01_BALF
HA	501	310	01_BALF
HA	502	309	01_BALF
HA	503	311	01_BALF
HA	504	312	01_BALF
HA	505	324	01_BALF
HA	506	323	01_BALF
HA	507	323	01_BALF
HA	508	324	01_BALF
HA	509	311	01_BALF
HA	510	318	01_BALF
HA	511	316	01_BALF
HA	512	318	01_BALF
HA	513	322	01_BALF
HA	514	316	01_BALF
HA	515	317	01_BALF
HA	516	319	01_BALF
HA	517	317	01_BALF
HA	518	321	01_BALF
HA	519	319	01_BALF
HA	520	319	01_BALF
HA	521	318	01_BALF
HA	522	323	01_BALF
HA	523	323	01_BALF
HA	524	330	01_BALF
HA	525	328	01_BALF
HA	526	329	01_BALF
HA	527	324	01_BALF
HA	528	324	01_BALF
HA	529	333	01_BALF
HA	530	330	01_BALF
HA	531	329	01_BALF
HA	532	328	01_BALF
HA	533	315	01_BALF
HA	534	317	01_BALF
HA	535	320	01_BALF
HA	536	320	01_BALF
HA	537	322	01_BALF
HA	538	320	01_BALF
HA	539	321	01_BALF
HA	540	333	01_BALF
HA	541	331	01_BALF
HA	542	331	01_BALF
HA	543	328	01_BALF
HA	544	328	01_BALF
HA	545	328	01_BALF
HA	546	326	01_BALF
HA	547	327	01_BALF
HA	548	317	01_BALF
HA	549	300	01_BALF
HA	550	298	01_BALF
HA	551	296	01_BALF
HA	552	297	01_BALF
HA	553	294	01_BALF
HA	554	295	01_BALF
HA	555	295	01_BALF
HA	556	294	01_BALF
HA	557	294	01_BALF
HA	558	294	01_BALF
HA	559	298	01_BALF
HA	560	302	01_BALF
HA	561	301	01_BALF
HA	562	302	01_BALF
HA	563	302	01_BALF
HA	564	301	01_BALF
HA	565	302	01_BALF
HA	566	302	01_BALF
HA	567	302	01_BALF
HA	568	304	01_BALF
HA	569	303	01_BALF
HA	570	296	01_BALF
HA	571	291	01_BALF
HA	572	291	01_BALF
HA	573	292	01_BALF
HA	574	303	01_BALF
HA	575	303	01_BALF
HA	576	326	01_BALF
HA	577	323	01_BALF
HA	578	316	01_BALF
HA	579	317	01_BALF
HA	580	317	01_BALF
HA	581	321	01_BALF
HA	582	321	01_BALF
HA	583	318	01_BALF
HA	584	320	01_BALF
HA	585	305	01_BALF
HA	586	313	01_BALF
HA	587	315	01_BALF
HA	588	315	01_BALF
HA	589	315	01_BALF
HA	590	312	01_BALF
HA	591	318	01_BALF
HA	592	314	01_BALF
HA	593	315	01_BALF
HA	594	316	01_BALF
HA	595	302	01_BALF
HA	596	310	01_BALF
HA	597	340	01_BALF
HA	598	339	01_BALF
HA	599	339	01_BALF
HA	600	339	01_BALF
HA	601	344	01_BALF
HA	602	345	01_BALF
HA	603	346	01_BALF
HA	604	350	01_BALF
HA	605	348	01_BALF
HA	606	312	01_BALF
HA	607	311	01_BALF
HA	608	316	01_BALF
HA	609	319	01_BALF
HA	610	318	01_BALF
HA	611	318	01_BALF
HA	612	316	01_BALF
HA	613	309	01_BALF
HA	614	309	01_BALF
HA	615	313	01_BALF
HA	616	312	01_BALF
HA	617	314	01_BALF
HA	618	312	01_BALF
HA	619	316	01_BALF
HA	620	316	01_BALF
HA	621	316	01_BALF
HA	622	316	01_BALF
HA	623	317	01_BALF
HA	624	322	01_BALF
HA	625	328	01_BALF
HA	626	336	01_BALF
HA	627	337	01_BALF
HA	628	333	01_BALF
HA	629	335	01_BALF
HA	630	333	01_BALF
HA	631	334	01_BALF
HA	632	333	01_BALF
HA	633	332	01_BALF
HA	634	332	01_BALF
HA	635	329	01_BALF
HA	636	326	01_BALF
HA	637	327	01_BALF
HA	638	331	01_BALF
HA	639	327	01_BALF
HA	640	330	01_BALF
HA	641	327	01_BALF
HA	642	327	01_BALF
HA	643	327	01_BALF
HA	644	327	01_BALF
HA	645	328	01_BALF
HA	646	333	01_BALF
HA	647	350	01_BALF
HA	648	351	01_BALF
HA	649	356	01_BALF
HA	650	354	01_BALF
HA	651	355	01_BALF
HA	652	358	01_BALF
HA	653	360	01_BALF
HA	654	356	01_BALF
HA	655	356	01_BALF
HA	656	334	01_BALF
HA	657	342	01_BALF
HA	658	342	01_BALF
HA	659	341	01_BALF
HA	660	334	01_BALF
HA	661	333	01_BALF
HA	662	339	01_BALF
HA	663	338	01_BALF
HA	664	345	01_BALF
HA	665	347	01_BALF
HA	666	359	01_BALF
HA	667	355	01_BALF
HA	668	363	01_BALF
HA	669	363	01_BALF
HA	670	376	01_BALF
HA	671	376	01_BALF
HA	672	377	01_BALF
HA	673	361	01_BALF
HA	674	363	01_BALF
HA	675	359	01_BALF
HA	676	365	01_BALF
HA	677	359	01_BALF
HA	678	359	01_BALF
HA	679	358	01_BALF
HA	680	356	01_BALF
HA	681	356	01_BALF
HA	682	356	01_BALF
HA	683	359	01_BALF
HA	684	353	01_BALF
HA	685	353	01_BALF
HA	686	353	01_BALF
HA	687	351	01_BALF
HA	688	353	01_BALF
HA	689	362	01_BALF
HA	690	361	01_BALF
HA	691	351	01_BALF
HA	692	354	01_BALF
HA	693	354	01_BALF
HA	694	358	01_BALF
HA	695	358	01_BALF
HA	696	358	01_BALF
HA	697	356	01_BALF
HA	698	356	01_BALF
HA	699	358	01_BALF
HA	700	357	01_BALF
HA	701	359	01_BALF
HA	702	361	01_BALF
HA	703	361	01_BALF
HA	704	364	01_BALF
HA	705	363	01_BALF
HA	706	363	01_BALF
HA	707	365	01_BALF
HA	708	365	01_BALF
HA	709	367	01_BALF
HA	710	364	01_BALF
HA	711	360	01_BALF
HA	712	360	01_BALF
HA	713	359	01_BALF
HA	714	360	01_BALF
HA	715	359	01_BALF
HA	716	360	01_BALF
HA	717	359	01_BALF
HA	718	357	01_BALF
HA	719	358	01_BALF
HA	720	356	01_BALF
HA	721	356	01_BALF
HA	722	357	01_BALF
HA	723	356	01_BALF
HA	724	356	01_BALF
HA	725	356	01_BALF
HA	726	356	01_BALF
HA	727	340	01_BALF
HA	728	343	01_BALF
HA	729	343	01_BALF
HA	730	345	01_BALF
HA	731	351	01_BALF
HA	732	351	01_BALF
HA	733	351	01_BALF
HA	734	346	01_BALF
HA	735	339	01_BALF
HA	736	338	01_BALF
HA	737	335	01_BALF
HA	738	372	01_BALF
HA	739	367	01_BALF
HA	740	367	01_BALF
HA	741	367	01_BALF
HA	742	359	01_BALF
HA	743	359	01_BALF
HA	744	367	01_BALF
HA	745	366	01_BALF
HA	746	356	01_BALF
HA	747	332	01_BALF
HA	748	348	01_BALF
HA	749	347	01_BALF
HA	750	349	01_BALF
HA	751	345	01_BALF
HA	752	344	01_BALF
HA	753	345	01_BALF
HA	754	347	01_BALF
HA	755	348	01_BALF
HA	756	347	01_BALF
HA	757	341	01_BALF
HA	758	340	01_BALF
HA	759	339	01_BALF
HA	760	339	01_BALF
HA	761	341	01_BALF
HA	762	340	01_BALF
HA	763	343	01_BALF
HA	764	345	01_BALF
HA	765	352	01_BALF
HA	766	349	01_BALF
HA	767	368	01_BALF
HA	768	366	01_BALF
HA	769	367	01_BALF
HA	770	367	01_BALF
HA	771	367	01_BALF
HA	772	369	01_BALF
HA	773	368	01_BALF
HA	774	368	01_BALF
HA	775	367	01_BALF
HA	776	355	01_BALF
HA	777	349	01_BALF
HA	778	347	01_BALF
HA	779	345	01_BALF
HA	780	344	01_BALF
HA	781	344	01_BALF
HA	782	344	01_BALF
HA	783	342	01_BALF
HA	784	341	01_BALF
HA	785	341	01_BALF
HA	786	342	01_BALF
HA	787	344	01_BALF
HA	788	345	01_BALF
HA	789	347	01_BALF
HA	790	350	01_BALF
HA	791	349	01_BALF
HA	792	351	01_BALF
HA	793	352	01_BALF
HA	794	355	01_BALF
HA	795	355	01_BALF
HA	796	351	01_BALF
HA	797	346	01_BALF
HA	798	324	01_BALF
HA	799	327	01_BALF
HA	800	324	01_BALF
HA	801	325	01_BALF
HA	802	321	01_BALF
HA	803	322	01_BALF
HA	804	328	01_BALF
HA	805	341	01_BALF
HA	806	342	01_BALF
HA	807	346	01_BALF
HA	808	343	01_BALF
HA	809	343	01_BALF
HA	810	341	01_BALF
HA	811	347	01_BALF
HA	812	366	01_BALF
HA	813	361	01_BALF
HA	814	366	01_BALF
HA	815	361	01_BALF
HA	816	360	01_BALF
HA	817	363	01_BALF
HA	818	357	01_BALF
HA	819	358	01_BALF
HA	820	358	01_BALF
HA	821	330	01_BALF
HA	822	357	01_BALF
HA	823	359	01_BALF
HA	824	359	01_BALF
HA	825	357	01_BALF
HA	826	353	01_BALF
HA	827	351	01_BALF
HA	828	360	01_BALF
HA	829	361	01_BALF
HA	830	362	01_BALF
HA	831	354	01_BALF
HA	832	351	01_BALF
HA	833	350	01_BALF
HA	834	350	01_BALF
HA	835	351	01_BALF
HA	836	350	01_BALF
HA	837	355	01_BALF
HA	838	352	01_BALF
HA	839	347	01_BALF
HA	840	342	01_BALF
HA	841	341	01_BALF
HA	842	345	01_BALF
HA	843	345	01_BALF
HA	844	343	01_BALF
HA	845	335	01_BALF
HA	846	333	01_BALF
HA	847	333	01_BALF
HA	848	333	01_BALF
HA	849	332	01_BALF
HA	850	330	01_BALF
HA	851	345	01_BALF
HA	852	342	01_BALF
HA	853	349	01_BALF
HA	854	347	01_BALF
HA	855	349	01_BALF
HA	856	349	01_BALF
HA	857	349	01_BALF
HA	858	352	01_BALF
HA	859	352	01_BALF
HA	860	350	01_BALF
HA	861	350	01_BALF
HA	862	354	01_BALF
HA	863	357	01_BALF
HA	864	358	01_BALF
HA	865	369	01_BALF
HA	866	369	01_BALF
HA	867	367	01_BALF
HA	868	373	01_BALF
HA	869	375	01_BALF
HA	870	376	01_BALF
HA	871	376	01_BALF
HA	872	374	01_BALF
HA	873	387	01_BALF
HA	874	384	01_BALF
HA	875	384	01_BALF
HA	876	378	01_BALF
HA	877	374	01_BALF
HA	878	375	01_BALF
HA	879	378	01_BALF
HA	880	378	01_BALF
HA	881	374	01_BALF
HA	882	366	01_BALF
HA	883	365	01_BALF
HA	884	363	01_BALF
HA	885	370	01_BALF
HA	886	376	01_BALF
HA	887	378	01_BALF
HA	888	378	01_BALF
HA	889	363	01_BALF
HA	890	363	01_BALF
HA	891	367	01_BALF
HA	892	370	01_BALF
HA	893	370	01_BALF
HA	894	351	01_BALF
HA	895	358	01_BALF
HA	896	355	01_BALF
HA	897	354	01_BALF
HA	898	347	01_BALF
HA	899	343	01_BALF
HA	900	345	01_BALF
HA	901	342	01_BALF
HA	902	343	01_BALF
HA	903	344	01_BALF
HA	904	336	01_BALF
HA	905	334	01_BALF
HA	906	334	01_BALF
HA	907	340	01_BALF
HA	908	335	01_BALF
HA	909	342	01_BALF
HA	910	340	01_BALF
HA	911	340	01_BALF
HA	912	340	01_BALF
HA	913	331	01_BALF
HA	914	335	01_BALF
HA	915	333	01_BALF
HA	916	327	01_BALF
HA	917	329	01_BALF
HA	918	321	01_BALF
HA	919	320	01_BALF
HA	920	320	01_BALF
HA	921	317	01_BALF
HA	922	318	01_BALF
HA	923	314	01_BALF
HA	924	317	01_BALF
HA	925	317	01_BALF
HA	926	315	01_BALF
HA	927	318	01_BALF
HA	928	318	01_BALF
HA	929	318	01_BALF
HA	930	322	01_BALF
HA	931	319	01_BALF
HA	932	324	01_BALF
HA	933	325	01_BALF
HA	934	326	01_BALF
HA	935	326	01_BALF
HA	936	326	01_BALF
HA	937	332	01_BALF
HA	938	331	01_BALF
HA	939	333	01_BALF
HA	940	333	01_BALF
HA	941	324	01_BALF
HA	942	335	01_BALF
HA	943	332	01_BALF
HA	944	332	01_BALF
HA	945	331	01_BALF
HA	946	335	01_BALF
HA	947	353	01_BALF
HA	948	345	01_BALF
HA	949	351	01_BALF
HA	950	353	01_BALF
HA	951	350	01_BALF
HA	952	349	01_BALF
HA	953	359	01_BALF
HA	954	369	01_BALF
HA	955	365	01_BALF
HA	956	334	01_BALF
HA	957	334	01_BALF
HA	958	334	01_BALF
HA	959	337	01_BALF
HA	960	337	01_BALF
HA	961	334	01_BALF
HA	962	328	01_BALF
HA	963	325	01_BALF
HA	964	325	01_BALF
HA	965	324	01_BALF
HA	966	338	01_BALF
HA	967	338	01_BALF
HA	968	339	01_BALF
HA	969	339	01_BALF
HA	970	339	01_BALF
HA	971	340	01_BALF
HA	972	340	01_BALF
HA	973	328	01_BALF
HA	974	327	01_BALF
HA	975	331	01_BALF
HA	976	323	01_BALF
HA	977	330	01_BALF
HA	978	332	01_BALF
HA	979	332	01_BALF
HA	980	327	01_BALF
HA	981	323	01_BALF
HA	982	331	01_BALF
HA	983	333	01_BALF
HA	984	334	01_BALF
HA	985	332	01_BALF
HA	986	334	01_BALF
HA	987	336	01_BALF
HA	988	336	01_BALF
HA	989	338	01_BALF
HA	990	338	01_BALF
HA	991	333	01_BALF
HA	992	335	01_BALF
HA	993	333	01_BALF
HA	994	337	01_BALF
HA	995	347	01_BALF
HA	996	346	01_BALF
HA	997	347	01_BALF
HA	998	347	01_BALF
HA	999	347	01_BALF
HA	1000	354	01_BALF
HA	1001	352	01_BALF
HA	1002	346	01_BALF
HA	1003	348	01_BALF
HA	1004	335	01_BALF
HA	1005	338	01_BALF
HA	1006	339	01_BALF
HA	1007	344	01_BALF
HA	1008	346	01_BALF
HA	1009	338	01_BALF
HA	1010	339	01_BALF
HA	1011	341	01_BALF
HA	1012	343	01_BALF
HA	1013	345	01_BALF
HA	1014	344	01_BALF
HA	1015	339	01_BALF
HA	1016	340	01_BALF
HA	1017	341	01_BALF
HA	1018	342	01_BALF
HA	1019	340	01_BALF
HA	1020	336	01_BALF
HA	1021	337	01_BALF
HA	1022	340	01_BALF
HA	1023	342	01_BALF
HA	1024	339	01_BALF
HA	1025	336	01_BALF
HA	1026	347	01_BALF
HA	1027	348	01_BALF
HA	1028	351	01_BALF
HA	1029	349	01_BALF
HA	1030	346	01_BALF
HA	1031	346	01_BALF
HA	1032	344	01_BALF
HA	1033	353	01_BALF
HA	1034	355	01_BALF
HA	1035	347	01_BALF
HA	1036	346	01_BALF
HA	1037	346	01_BALF
HA	1038	351	01_BALF
HA	1039	352	01_BALF
HA	1040	351	01_BALF
HA	1041	356	01_BALF
HA	1042	350	01_BALF
HA	1043	348	01_BALF
HA	1044	354	01_BALF
HA	1045	356	01_BALF
HA	1046	354	01_BALF
HA	1047	350	01_BALF
HA	1048	351	01_BALF
HA	1049	356	01_BALF
HA	1050	356	01_BALF
HA	1051	354	01_BALF
HA	1052	354	01_BALF
HA	1053	358	01_BALF
HA	1054	358	01_BALF
HA	1055	358	01_BALF
HA	1056	353	01_BALF
HA	1057	351	01_BALF
HA	1058	347	01_BALF
HA	1059	345	01_BALF
HA	1060	346	01_BALF
HA	1061	346	01_BALF
HA	1062	347	01_BALF
HA	1063	349	01_BALF
HA	1064	345	01_BALF
HA	1065	339	01_BALF
HA	1066	338	01_BALF
HA	1067	339	01_BALF
HA	1068	334	01_BALF
HA	1069	338	01_BALF
